time,vel_sp,vel,theta,acc_sp,acc
0,0,0,-5,0.000116184428377966,0
0.02,0,-0.00575183282383898,-4.96478513312426,0.000116184428377966,-0.318296885835497
0.04,0,-0.0120679437796271,-4.85700122790033,0.000797616636945565,-0.311672266182263
0.06,0,-0.0181860203162497,-4.67843631943371,0.00249450171160545,-0.29711146934147
0.08,0,-0.023928903300234,-4.43230371403168,0.00249450171160545,-0.27344078050964
0.1,0,-0.0291253802052183,-4.1231708013754,0.00545760512896408,-0.241741766623983
0.12,0,-0.0336283948797347,-3.75685240211579,0.00963762914495254,-0.203981804329978
0.14,0,-0.0373449496987851,-3.34024101218892,0.00963762914495254,-0.162872126049772
0.16,0,-0.0402199584261595,-2.88110156827751,0.0146725141407706,-0.119946070699322
0.18,0,-0.0422392353511137,-2.38788015188999,0.019945256579501,-0.0773860291818867
0.2,0,-0.0434138788379113,-1.86949275830746,0.019945256579501,-0.0357446565501147
0.22,0,-0.043776977047563,-1.33514815206987,0.024688328734664,0.00337905167129868
0.24,0,-0.0433781632058649,-0.794145783868454,0.0281091138166864,0.0401096200941343
0.26,0,-0.0422734248626646,-0.255714532955356,0.0281091138166864,0.0733476667356993
0.28,0,-0.0405322381715338,0.271169678816749,0.0295130888265665,0.103426594394815
0.3,0,-0.0382193420594156,0.777928978384633,0.0284067382016691,0.129815834104756
0.32,0,-0.035411371250454,1.25653351813387,0.0284067382016691,0.152655601571941
0.34,0,-0.0321765968236416,1.69962697448208,0.0245681951493648,0.17187457349945
0.36,0,-0.0285917114549012,2.10063592058364,0.0180798022694885,0.187452299809664
0.38,0,-0.0247245092440108,2.45386374383908,0.0180798022694885,0.199624150247505
0.4,0,-0.0206480009886421,2.75456030012749,0.00932264423544155,0.20820794656142
0.42,0,-0.0164277218792429,2.99898415845657,-0.00106241058712503,0.213622025448838
0.44,0,-0.0121331875614245,3.18443920489949,-0.00106241058712503,0.215425287326468
0.46,0,-0.00782947691651012,3.30931205784123,-0.0122395530991834,0.214264402317711
0.48,0,-0.00358055971845739,3.37307053725699,-0.023259443742826,0.209655198006956
0.5,0,0.000550728591188226,3.37627523073769,-0.023259443742826,0.20230361775884
0.52,0,0.00450787961040661,3.32061173150177,-0.0331474521842443,0.191867504915626
0.54,0,0.00823226187048436,3.20878659670675,-0.0409899181029134,0.178863286959306
0.56,0,0.0116737685949505,3.04445774783649,-0.0409899181029134,0.163180891693138
0.58,0,0.0147800917752845,2.83221410392694,-0.0460108838682077,0.14525037620314
